"","Rank0","Kingdom","Phylum","Class","Order","Family","Genus","OTU"
"Otu000628","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000628"
"Otu000094","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000094"
"Otu000330","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000330"
"Otu000382","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000382"
"Otu000062","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000062"
"Otu000004","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000004"
"Otu000285","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000285"
"Otu000169","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000169"
"Otu000041","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000041"
"Otu000366","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000366"
"Otu000010","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000010"
"Otu000040","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000040"
"Otu000179","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000179"
"Otu000331","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000331"
"Otu000264","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000264"
"Otu000317","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000317"
"Otu000466","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000466"
"Otu000259","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000259"
"Otu000083","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000083"
"Otu000383","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000383"
"Otu000142","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000142"
"Otu000109","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000109"
"Otu000261","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000261"
"Otu000478","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000478"
"Otu000296","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::f__8","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::f__8::g__72","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::f__8::g__72::Otu000296"
"Otu000008","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000008"
"Otu000272","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000272"
"Otu000418","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000418"
"Otu000267","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000267"
"Otu000089","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000089"
"Otu000351","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000351"
"Otu000260","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000260"
"Otu000001","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000001"
"Otu000565","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000565"
"Otu000439","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000439"
"Otu000033","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000033"
"Otu000080","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000080"
"Otu000310","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000310"
"Otu000636","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000636"
"Otu000417","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000417"
"Otu000462","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000462"
"Otu000379","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000379"
"Otu000467","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000467"
"Otu000297","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000297"
"Otu000341","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000341"
"Otu000489","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000489"
"Otu000141","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000141"
"Otu000023","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000023"
"Otu000442","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000442"
"Otu000013","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000013"
"Otu000275","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000275"
"Otu000224","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000224"
"Otu000219","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000219"
"Otu000427","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000427"
"Otu000465","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000465"
"Otu000228","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000228"
"Otu000562","Life","Life::Bacteria","Life::Bacteria::Bacteroidetes","Life::Bacteria::Bacteroidetes::Bacteroidia","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella","Life::Bacteria::Bacteroidetes::Bacteroidia::Bacteroidales::Prevotellaceae::Prevotella::Otu000562"
