"","Rank0","Kingdom","Phylum","Class","Order","Family","Genus","OTU"
"Otu000270","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__8","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__8::Otu000270"
"Otu000104","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__9","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__9::Otu000104"
"Otu000244","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__10","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__10::Otu000244"
"Otu000212","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__11","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::vadinBB60::g__11::Otu000212"
"Otu000047","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus::Otu000047"
"Otu000099","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Lachnospira","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Lachnospira::Otu000099"
"Otu000608","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Defluviitaleaceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Defluviitaleaceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Defluviitaleaceae::Incertae_Sedis::Otu000608"
"Otu000027","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000027"
"Otu000410","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__12","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__12::Otu000410"
"Otu000055","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__13","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__13::Otu000055"
"Otu000435","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__14","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__14::Otu000435"
"Otu000106","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__15","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__15::Otu000106"
"Otu000257","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__16","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__16::Otu000257"
"Otu000025","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Anaerostipes","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Anaerostipes::Otu000025"
"Otu000332","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__17","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__17::Otu000332"
"Otu000202","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Anaerostipes","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Anaerostipes::Otu000202"
"Otu000131","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000131"
"Otu000587","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000587"
"Otu000238","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__18","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__18::Otu000238"
"Otu000557","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__19","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__19::Otu000557"
